id,title,company,location,posted,applicants,text,level,type,functions,industries
1810055462,Data Science R y Python,Gfi España,"Madrid, Community of Madrid, Spain",5.0,184 ,"En Gfi Informática buscamos un/a especialista en analytics sobre R y Phyton para trabajar en importante cliente ubicado en Boadilla del Monte (la modalidad inicialmente será teletrabajo)  Lugar de trabajo: Boadilla del Monte   ¿Qué ofrecemos?: -Contrato estable-Retribución salarial acorde con la experiencia aportada-Plan de carrera: ofrecemos una atractiva carrera profesional en función de la experiencia y potencial personal dentro de una compañía en continua evolución y con un sólido crecimiento-Plan de formación en competencias tecnológicas de acuerdo con las exigencias de los proyectos y clientes.-Retribución flexible: te ofrecemos una retribución a la carta pudiendo elegir diferentes productos y modelar tú mismo cómo distribuirlos: seguro de salud, tickets de comida, guardería, tarjeta transporte, etc.-Flexibilidad horaria  Anímate a echarle un vistazo a nuestra Microsite: http://www.trabajaren.gfi.es/", Mid-Senior level , Full-time , Consulting Information Technology , Information Technology and Services
1794127974,Python Data Analyst,Aplazame,"Madrid, Community of Madrid, Spain",3.0,179 ,"¡Hola! Soy Jorge Valhondo, Chief Data Officer en Aplazame.Uno de los temas que nos obsesiona en Aplazame es la idea de poder separar a los clientes que quieren pagar sus compras de una forma más flexible de los clientes que no tienen intención de pago o que están agotando su capacidad de pago.Desde la compra de Aplazame por el grupo WiZink Bank, todo el equipo está creciendo con un objetivo: convertirnos en la solución líder de financiación instantánea en España y expandirnos a otros países. Para lograr dar crédito de calidad necesitamos seguir mejorando nuestro motor de decisión y adaptarlo a nuevos escenarios que se nos presenten.¿Quiénes somos nosotros?Aplazame es una startup FinTech recientemente adquirida por el grupo WiZink Bank que ofrece financiación instantánea para compras online y offline. Te damos crédito para que puedas comprar esa bici tan molona que has visto en tu comercio favorito en cómodos plazos . Sin papeleo, sin letra pequeña y sin llamar a tu banco. Sólo tú con tu móvil y en cuestión de segundos.Nuestro objetivo es ofrecer productos financieros simples, transparentes y justos que merezcan la confianza de la gente y les permita comprar con flexibilidad. Si quieres participar en el reto que supone trabajar en una de las historias de éxito más importantes del panorama nacional, queremos saber de ti.¿Cómo es la cultura basada en datos de Aplazame?Uno de los pilares del área de Data es el desarrollo de un innovador sistema de decisión de crédito basado en un conjunto de algoritmos de machine learning. Además, y no menos relevante, en el equipo de Data también nos encargamos de integrar múltiples fuentes de datos, elaborar métricas e indicadores de riesgo, y en un sentido más amplio, de socializar el acceso al dato al resto de compañeros. Ahora necesitamos refuerzos y por eso estamos buscando alguien que se incorpore al equipo. ¿Te apetecería sumarte al reto? Sigue leyendo que te cuento qué buscamos más concretamente y qué ofrecemos.¿Data Team de Aplazame?Somos un equipo compacto y de alto rendimiento. Te hago una breve presentación de nosotros:Adrián, Lead Data Scientist.Eyad, Data Engineer.Urko, Credit Risk Analyst.Juan Antonio, Data Scientist.Adrián V., Data Scientist & Engineer.Ángel, DevOps Engineer.Aitor, Data Visualization Specialist.¿A quién nos gustaría encontrar?Nos gustaría encontrar una persona con al menos unos 2 años de experiencia en un puesto de Data Analyst y al menos 3 años programando con Python.A una persona con experiencia en las librerías pandas, matplotlib/plotly/bokeh y SQLAlchemy y también acostumbrada a trabajar con Jupyter Notebooks.A una persona que maneje con fluidez SQL y bases de datos relacionales como Postgres o Redshift.A una persona con experiencia en el desarrollo de Pipelines y ETLs.A una persona que tenga las siguientes habilidades:Capacidad analítica.Interiorizados fundamentos matemáticos y estadísticos.Fijación por el detalle.Capacidad de extraer conocimiento de los datos.Capacidad de presentar conclusiones de manera efectiva y eficiente.Capacidad de comunicación.Valoraremos positivamente si tienes conocimientos de Machine Learning.Valoraremos positivamente si tienes conocimientos de Tableau.¿Cómo será tu día a día?Formarás parte del equipo de data liderado por nuestro CDO. Tu misión principal será analizar y socializar datos y métricas que dan respuesta a necesidades de la compañía.Trabajarás en estrecha colaboración con el resto de miembros del equipo de Data, y también junto con otras áreas como Negocio, Riesgos y Finanzas.Transformarás necesidades analíticas de Negocio, Riesgos y Finanzas en requerimientos técnicos.Definirás y desarrollarás pipelines de datos y procesos ETL que den respuesta a diferentes necesidades analíticas.Estarás involucrado en la definición de modelos y estructuras de datos que den respuesta a distintas necesidades analíticas y de visualización.Harás seguimiento de los indicadores y métricas, junto con extracciones de datos.Realizarás análisis de datos relacionados con el potencial predictivo de una fuente de datos, indicadores del negocio e indicadores de riesgo de crédito y riesgo de fraude.¿Qué ofrecemos?Salario bruto entre 38.000€ - 45.000€ / año fijos más variable.Bolsa de 1000€ / año adicionales para formación.Contrato laboral indefinido.Seguro médico Sanitas Multi subvencionado en un 75%.Aplazame como método de pago al 0% TAE para empleados. Horario flexible.24 días laborables de vacaciones al año.Jornada intensiva en julio y agosto.El equipo que necesites para trabajar a gusto.Trabajar con cracks con los que aprender y pasarlo bien creciendo como profesional. Somos humildes pero ambiciosos. Nos encantará ayudarte a desarrollarte profesionalmente. Tu límite lo vas a poner tú.Un ambiente de confianza, comunicación abierta y buen rollo. Entendemos que tiene que haber ciertas jerarquías, pero nos gusta ser muy horizontales. Todos hablamos con todos y cualquiera es bienvenido a aportar su visión, ideas o experiencias en cualquier frente.Cultura de feedback y aprendizaje. Intentamos no equivocarnos, pero creemos que de los errores también se aprende mucho. Un buen análisis post-mortem de un fallo puede ser una fuente de aprendizaje brutal.Horario flexible. Nos fijamos en tus resultados, no en a qué hora llegas o te vas de la oficina así que, dentro de lo lógico, podrás entrar y salir cuando quieras.La posición está basada en Madrid, y en este caso buscamos alguien que venga frecuentemente a la oficina, aunque nuestra cultura es remote friendly. Tendrás la oportunidad de trabajar en remoto cuando lo necesites.¿Cómo será el proceso?Si crees que puedes encajar en esta oferta, nos encantaría hablar contigo. ¡Inscríbete en esta oferta de LinkedIN!Si tu propuesta nos resulta interesante, nos pondremos en contacto contigo para realizar una entrevista inicial. Así nosotros podremos conocerte y tú tendrás la oportunidad de preguntarnos todo lo que quieras saber.Si tras esa primera entrevista creemos que tu perfil tiene encaje en el equipo, te propondremos realizar una prueba técnica para valorar más profundamente tus conocimientos.Te daremos feedback sobre la prueba técnica y, si superas la primera fase del proceso, coordinaremos alguna entrevista técnica con nuestro CDO y el equipo de Data.¡Estamos deseando conocerte!", Associate , Full-time , Analyst Engineering , Financial Services
1757831422,Data Scientist - Advanced Analytics,McKinsey & Company,"San Sebastián de los Reyes, Community of Madrid, Spain",28.0,161 ,"Apply NowQualificationsUndergraduate degree in Maths, Statistics, Physics, Engineering required0 - 4 years of professional experience in programming; experience applied to business problems is a plusProgramming (focus on Machine Learning) R and/or Python (must), SPSS, SAS, Ruby, Hadoop (valued)Data treatment/Data mining SQL, AWK, Access, Spark, Excel (valued)Statistical knowledge is a plusDemonstrated aptitude for analyticsProven record of leadership in a work setting and/or through extracurricular activitiesAbility to work collaboratively in a team environmentAbility to work effectively with people at all levels in an organizationSkills to communicate complex ideas effectivelyAbility to communicate complex ideas effectively – both verbally and in writing – in English and the local office language(s)Knowledge of other languages including Portuguese, German, French and Italian will be valuedWho You'll Work WithYou’ll work with our Analytics´ team in Madrid, focusing on Machine Learning. This global practice supports clients in many different industries facing challenges of developing and implementing tailored concepts for prediction and prescription.What You'll DoYou will focus on the development of Advanced Analytics models to optimize underlying business problems.As a Data Scientist, you will shape the future of what data-driven organizations look like, drive processes for extracting and using that data in creative ways, and create new lines of thinking within an infinite number of clients and situations.You will create valuable, transformative business strategies through the measurement, manipulation, reporting and dissemination of broad sets of data. You will apply and advise on state-of-the-art advanced analytic and quantitative tools and modeling techniques in order to derive business insights, solve complex business problems and improve decisions. You will review, support and advise on the day-to-day analytics requirements of clients’ key operational processes while continually improving the impact of these processes.", Entry level , Full-time , Consulting Engineering Information Technology , Computer Software Information Technology and Services Management Consulting
1713962733,Data Scientist & Project Manager,CHEP,"Madrid, Community of Madrid, Spain",21.0,0,"As a Data Scientist you will be working within the Asset Productivity function to analyze and model complex business problems and data sets of raw information, uncovering patterns and insights through the use of mining, algorithms, statistical, or visualization methodologies.  Partnering together with a Central Asset Productivity Business Intelligence Function to help create the global data infrastructure, support regional Asset Efficiency plans and Data Strategy roadmap in Europe, and provide Senior Leadership with the insights, reports and analysis to make critical business decisions.  Critical thinking and problem-solving skills are essential for interpreting data. Key AccountabilitiesRoot cause analysis for Asset efficienty anomalyes. Building up plans to guide the field teams in taking the right decisions to improve Asset Productivity through:  Selecting features, building and optimizing segmented business intelligence methodologies using data analytics and machine learning techniques Data mining using state-of-the-art methods, and enhancement or refining current data sources for continuous improvement. Configure organized, diverse data solutions to build dashboards and reports required for actionable decisions. Extending company’s data with third party sources of information when needed Enhancing data collection procedures to include information that is relevant for building analytic systems Processing, cleansing, and verifying the integrity of data used for analysis Doing ad-hoc analysis and presenting results in a clear manner QualificationsRequired:Bachelor degree in Computer Science, Stadistic, Applied Math, Machine Learning, or equivalent Preferred: Master’s level degree in similar disciplines Experience and Skills1-3 years of experience in a Data Science role or managing/analyzing large Data sets in a complex, multinational environment Proven experience with SQL and databases Programing languages required: Python or R. Any other skills with AWS, Machine Learning, Hadoop, Spak, Java, C/C++ is a plus. Visualization tools: Tableau or PowerBI a plus Skills and knowledgeExcellent understanding of machine learning techniques and algorithms Knowledge of implementing Data Science or Machine Learning algorithms Experience with common statistical techniques and data science toolkits Great communication and influencing skills, with the ability to utilize data to justify business decisions. Strong quantative and analytical skills and experience with data visualisation tools. Proficiency in using query languages (i.e SQL) and big data analytics Good applied statistics skills, such as distributions, statistical testing, regression, etc. Good scripting and programming skills   LanguagesEnglish is required for this role. Spanish, Other fluent languages would be highly evaluated", Associate , Full-time , Supply Chain Information Technology Science , Logistics and Supply Chain Consumer Goods Information Technology and Services
1819396078,Data Scientist,SlashMobility,"San Sebastián de los Reyes, Community of Madrid, Spain",3.0,0,"Estamos buscando un Data Scientist, con al menos 2 años de experiencia en proyectos de Big Data y AI, para trabajar en un producto disruptivo en el ámbito de recursos humanos.Formarás parte de un equipo talentoso y multidisciplinar y estarás involucrado en el desarrollo del producto end to end.Formación en Ingeniería Telecomunicaciones, Ingeniería Informática, Matemáticas, o similiar.Requisitos Básicos Estadística, Machine Learning, Deep Learning.  Experiencia en el desarrollo de modelos predictivos ML y su validación.  Python.  Pandas, Sklearn, SciPy.  Hive, Spark, MLlib, Spark ML. Requisitos Deseables Scala, R-Project y Java.  PyTorch, Keras, xgboost.  Cloud (AWS, Azure). Competencias Capacidad analítica  Habilidades comunicativas  Pensamiento crítico  Atención al detalle  Habilidades matemáticas", Entry level , Full-time , Engineering Information Technology , Information Technology and Services Computer Software Internet
1813615308,Data Scientist I+D+I Python,Quental,"Boadilla del Monte, Community of Madrid, Spain",3.0,124 ,"Eres una persona que le guste afrontar un nuevo reto profesional y buscas continuar desarrollando tu carrera profesional en el área I+D+I Data Science? Estamos seleccionando, para nuestro departamento Data Science en colaboración directa con nuestro principal cliente a nivel Internacional del sector financiero, situado en Boadilla del Monte, Madrid, nuevos compañeros con titulaciones afines a Matemáticas, Estadística, Ingeniería o similar y experiencia en el ámbito de la Investigación para soluciones Machine Learning, desarrollo Python y/o R y capacidad analítica para abordar la problemática planteada para ampliar nuestro equipo del área Innovación, trabajando sobre soluciones de negocio y modelos de análisis predictivo mediante técnicas Machine Learning e IA. LLevando a cabo las funciones de líder técnico, con análisis y desarrollo de proyectos de investigación dentro del ámbito del data science para la resolución de problemas con el uso de nuevas tecnologías y las técnicas de machine learning e inteligencia artificial. ¿Qué puedes aportarnos ?Experiencia en el análisis y creación de solución a seguir en función de la problemática abordada.Experiencia en desarrollo con lenguaje Python, R, Matlab o similar.Experiencia en el desarrollo de modelos predictivos ML y su validación.Motivación y ganas por colaborar en entorno multidisciplinar junto al resto de equipos en la creación de soluciones de análisis para el principal proyecto nacional de ámbito ML e IA.Valorable:Conocimientos y/o experiencia con lenguajes de programación R y/o SQL ¿Qué podemos ofrecerte?Desarrollo profesional en unidad de referencia de ámbito Data Science.Entorno salarial negociable en función de la experiencia aportada.Plan de carrera profesional y formación garantizada.Lugar de trabajo: Boadilla del Monte (Madrid).Horario: L a J: 09:00-18:30 Hrs y V: 09:00-15:00", Entry level , Full-time , Analyst Engineering Information Technology , Program Development Computer Hardware Computer Software
1803773792,Data Scientist,Telefónica,"San Sebastián de los Reyes, Community of Madrid, Spain",14.0,135 ,"Descripción del AreaData Innovation es el área donde se explotan todos los datos de Telefónica, con el fin de sacarle un objetivo de negocio para la casa. Específicamente, la unidad se enfoca en dos vertientes específicas, AdTech y MarkTech, con el objetivo de ofrecer soluciones B2B y B2C relacionadas con el Marketing y la publicidad en función de lo que podemos llegar a conocer a nuestros clientes Movistar, asegurando la confidencialidad de los mismos en todo momento (GDPR compliance).La unidad, siendo la gran mayoría técnicos, trabaja de manera ágil (metodología similar a SCRUM con OKRs) en distintos proyectos y subproyectos enlazados entre sí. Dichos proyectos, siguiendo el estándar de Core Innovation, van desde ideación, pasando por prototipado y evaluación, hasta puesta en producción y venta a cliente.Dentro de esta unidad, se encuentra el equipo Data Science, el cual ofrece servicios a todos los proyectos de la unidad y al que pertenece esta vacante.Desde esta posición, estarás constantemente actualizado/a de las tendencias del mercado y las tecnologías emergentes.Objetivo y responsabilidadTendrás la posibilidad de realizar todo tipo de tareas Data Science, involucrándote en todo momento en ofrecer soluciones factibles y rápidas a todos los problemas analíticos que vayan surgiendo en los proyectos. Por ello, es importante disponer de pro-actividad y autonomía.Formación RequeridaIngeniería TI (Telecomunicaciones, Informática, etc) y disciplinas STEM (Science, Technology, Engineering and Mathematics).Experiencia NecesariaAl menos 2-3 años en proyectos reales Data Science y 1 año en Tecnologías Big Data.Experiencia DeseableExperiencia y conocimiento de analítica aplicada a negocio (visión de negocio).Conocimientos Técnicos NecesariosEstadística, Machine Learning (Clasificacion supervisada, clustering, regresion, multilabel y multiclass, NLDR, FSS, etc.), Deep Learning, etc.Python y PySpark (deseable tambien Scala, R-Project y Java).Pandas, Sklearn, SciPy, numpy, etc.PyTorch, Keras, xgboost, xglb, etc.Hive, Spark, MLlib, Spark ML, Sparkling Water, etc.Conocimientos Técnicos DeseablesConocimientos en plataformas Cloud (AWS, Azure, GCP)Conocimientos en visualización de datos (librerias Seaborn, matplotlib, etc. librerias D3.js, DC.js, etc, o soluciones PowerBI, Qlik, Tableau)IdiomasEspañol e InglésCuando te unes a TelefónicaTe unes a casi 100 años de historia, un equipo de 106 nacionalidades presentes en más de 35 países. Te unes a un equipo que trabaja por conectar a las personas allá dónde estén, sin fronteras. Un equipo que está liderando la revolución digital con la ilusión del primer día en todos nuestros negocios, creando el mejor ecosistema digital para nuestros clientes: Red, IoT, Cloud, Ciberseguridad, Innovación etc. En Telefónica tienes todo lo que necesitas para crear la mejor versión de ti mismo. Necesitamos gente como tú que se sume a este gran reto, que quiera crear la Telefónica del mañana.En Telefónica apostamos por las nuevas formas de trabajo y somos líderes en la implementación de la Desconexión Digital bajo el principio “Desconecta para Reconectar”.#SomosDiversosEstamos convencidos de que los equipos diversos e inclusivos son más innovadores, transformadores y consiguen mejores resultados. Por ello promovemos y garantizamos la inclusión de todas las personas sin importar género, edad, orientación e identidad sexual, cultura, discapacidad o cualquier otra condición personal.", Entry level , Full-time , Engineering Information Technology , Information Technology and Services Computer Software Telecommunications
1812954836,Data Scientist & Analytics Crm,Ogilvy,"San Sebastián de los Reyes, Community of Madrid, Spain",14.0,0,"Resumen En la agencia GTB Madrid estamos buscando un perfil de Data Scientist & Analytics CRM. Responsibilidades Análisis cuantitativos que produzcan insights accionables de CRM para agilizar la captación de leads y retención de clientes. Monitorización y análisis de información y métricas de negocio para proponer acciones realizables que ayuden a alcanzar objetivos establecidos. Definición de perfiles de clientes y estudio de patrones de comportamiento como apoyo para proyectos futuros. Extracción de información de la base de datos y creación de modelos de propensión. Implementación de un método de visualización de datos para la destilación de datos. Cualificación Grado y/o Máster en Matemáticas, Estadística, Ingeniería, Informática, Economía. Al menos 1 año trabajando con analítica de datos y desarrollo de modelos predictivos. Formación complementaria en temas como Machine Learning, Data Science, Inteligencia Artificial, Big Data o Data Mining. Conocimiento en diseño e implementación de modelos de propensión y segmentación. Conocimiento de lenguajes de programación y tratamiento de bases de datos como SQL y/o Python. Conocimiento en PowerBI, Tableau y/o Customer journey. Nivel intermedio/alto de inglés. Experiencia en Data Analysis en Marketing / Ventas, Sector Automoción y Agencia de Comunicación.", Entry level , Full-time , Engineering Information Technology , Marketing and Advertising Online Media Human Resources
1789135389,Junior Data Analyst,Fever,"San Sebastián de los Reyes, Community of Madrid, Spain",28.0,82 ,"We're Fever!Fever is the leading entertainment discovery platform, with a mission to inspire people through experiences. We are looking for bar-raisers that want to work hard, have fun and make history with us. Fever combines its marketplace and Secret Media Network (Secret London, Secret NYC, Madrid Secreto, Paris Secret, etc) through technology to reach over 15 million people per week. Fever has also rolled out the Fever Originals, which are proprietary events in which we follow a data-driven content creation strategy, using analytics to understand audiences and develop new experiences.Fever is present in London, New York, Los Angeles, Paris, Lisbon, and Spain, and is in process of expanding to new markets. Fever is also backed by top-notch institutional investors, including Atresmedia, Accel Partners, Lab-Tech, and 14W Ventures.About You0-2 years of relevant experienceYou are an engineer.You're native in Spanish and bilingual English speaker.Excellent analytical and interpersonal skills, with ability to work successfullyacross many disciplines.You have passion for Digital Marketing and an untamable desire to learn moreand become one of the leading Growth Hacking specialists.Marketing background, experience in social media insights and SQL knowledgeis a plus.About The RoleFever is looking for a Growth Analyst that will play a vital role in growing our Secret Media Network, building and reporting the metrics and performance of the media network, providing insights and developing tools to help editors do their work. We're looking for someone with great analysis skills and the ability to get things done, someone who is knowledgeable and loves data, is team-orientated and loves digging into data to uncover product problems and opportunities.We also value the ability to assess the right balance of risk to allocate right resources, anticipate bottlenecks, provide escalation management, anticipate and make trade-offs, balance the business needs versus technical constraints and encourage risk taking behaviour to maximize business benefit. You will work closely to our Secret Media team, Marketing team, Product Team, Brand Partnership team and web engineering.Your Key Responsibilities Here In Fever Will BeWorking with Marketing and Media Teams to Understand KPIs & BusinessGoals.Complete audit of current reporting, analytics & AB testing tools.Making suggestions to improve our tools and encouraging seamless sharingacross tools and departments.Completing critical analysis that will drive growth and provide insights.About Our Perks & BenefitsGreat work environment and great people to work with :)Ping-pong and chill roomFree fruits & drinksExcellent working conditionsFlex work40% off in our plans!NPajvriNOB", Associate , Full-time , Information Technology , Online Media Internet Entertainment
1793573876,Data Scientist - Intelligence Unit -ID: 200002G7,Prosegur,"Madrid, Community of Madrid, Spain",21.0,0,"  Prosegur is a leading company in the private security sector. Through its four lines of business - Prosgur Security, Prosegur Cash, Prosegur Alarms and Prosegur Cybersecurity - it provides companies, homes and businesses with a security of trust based on the most advanced solutions in the market. With a presence on five continents, Prosegur currently has a team of more than 170,000 employees.   We are looking for a Data Scientist who will work with the Intelligence Unit (Risk Management) focusing on Data Science initiatives and who will perform data analysis to extract knowledge or insights from structured or unstructured data, develop advanced statistical algorithms for analysis of large-scale, complex datasets applying cutting-edge techniques in Data Science.   The main responsibilities will include:   Develop Advanced Analytics models to optimize      underlying business problems using Data Science technologies  Test and “tinker” with Data Science technology to      perform Proof of Concepts (PoC) and Pilots in the field of Data Science in      business use cases  As a Data Scientist, and in collaboration with      intelligence analysts and other social sciences profiles, you will      create valuable insights, transformative business strategies through the      measurement, manipulation, reporting and dissemination of the result of      the analysis of a broad sets of data. You will apply and advise on      state-of-the-art advanced analytic and quantitative tools and modeling      techniques in order to derive business insights, solve complex business      problems and leverage data driven decisions.  Train, share and share knowledge in Data Science      within Prosegur and in public assessments.  Actively collaborate with universities, think      tanks and other technological departments in Prosegur.   Qualifications:    Master’s degree in       Maths, Statistics, Physics, Computer Science, Engineering or others (PhD.       preferred).  Demonstrated ability to       work with minimal supervision and work effectively with people at all       levels in an organization.  Demonstrated ability to       communicate complex results to technical and non-technical audiences.  Willingness and ability       to learn new technologies on the job.  +3 years of professional       experience in data science projects.  Knowledge of Python and       R. Knowledge about Big Data solutions (like Hadoop).  Knowledge Data Scientist       frameworks cloud based like Azure, Google Cloud, AWS, etc are valued.  Data treatment/Data       mining SQL, Spark, Excel (valued)  Web Scraping and Natural       Language Processing also valued.  Demonstrated aptitude       for analytics. Statistical and operations research knowledge is a plus.  Knowledge of a       visualization frameworks valued (Dashboarding, visual reporting)  Machine learning domain       knowledge—bias-variance tradeoff, exploration/exploitation—and       understanding of various model families, including neural net, decision       trees, Bayesian models, instance-based learning, association learning,       and deep learning algorithms  Determines requirements       that will be used to train and evolve deep learning models and algorithms        Implements new tools to       make data analysis more efficient, and experience in deploy analytics       solutions in production.  *We offer Indefinite Contract   Las entrevistas con nuestros candidatos se llevarán a cabo prioritariamente a través de Zoom y otras plataformas de telecomunicaciones. Con ello buscamos garantizar la rapidez y agilidad en los procesos de selección y cumplir con las medidas de prevención establecidas por las autoridades sanitarias.", Mid-Senior level , Full-time , Purchasing , Security and Investigations
