id,title,company,location,posted,applicants,level,type,functions,industries,key_words,misspelled_words
1810055462,Data Science R y Python,Gfi España,"Madrid, Community of Madrid, Spain",5.0,184 , Mid-Senior level , Full-time , Consulting Information Technology , Information Technology and Services,r,gfi distribuirlos aportada-plan teletrabajo analytics www phyton boadilla estable-retribución trabajaren crecimiento-plan microsite http
1794127974,Python Data Analyst,Aplazame,"Madrid, Community of Madrid, Spain",3.0,179 , Associate , Full-time , Analyst Engineering , Financial Services,python tableau sql etl,postgres redshift inscríbete definirás analíticas adaptarlo specialist aplazame matplotlib bokeh valoraremos plotly learning offline eyad subvencionado startup jupyter interiorizados cdo analyst ¡ valhondo aitor urko propondremos sqlalchemy realizarás remote engineer post-mortem transformarás etls molona € sanitas cracks linked coordinaremos visualization incorpore desarrollarás laborables desarrollarte scientist relacionales zink predictivo pipelines notebooks
1757831422,Data Scientist - Advanced Analytics,McKinsey & Company,"San Sebastián de los Reyes, Community of Madrid, Spain",28.0,161 , Entry level , Full-time , Consulting Engineering Information Technology , Computer Software Information Technology and Services Management Consulting,python r spark sql hadoop mining,awk you'll ´ ’ – analytics modeling
1713962733,Data Scientist & Project Manager,CHEP,"Madrid, Community of Madrid, Spain",21.0,0, Associate , Full-time , Supply Chain Information Technology Science , Logistics and Supply Chain Consumer Goods Information Technology and Services,python r tableau sql hadoop aws java mining,1-3 dashboards ’ efficienty stadistic spak analytics quantative anomalyes programing
1819396078,Data Scientist,SlashMobility,"San Sebastián de los Reyes, Community of Madrid, Spain",3.0,0, Entry level , Full-time , Engineering Information Technology , Information Technology and Services Computer Software Internet,python scala spark hive aws java cloud azure keras sklearn,learning similiar predictivos mllib xgboost comunicativas r-project scientist py disruptivo multidisciplinar
1813615308,Data Scientist I+D+I Python,Quental,"Boadilla del Monte, Community of Madrid, Spain",3.0,124 , Entry level , Full-time , Analyst Engineering Information Technology , Program Development Computer Hardware Computer Software,python r sql,matlab valorable learning aportada titulaciones predictivos 00-18 aportarnos multidisciplinar 00-15 boadilla planteada predictivo
1803773792,Data Scientist,Telefónica,"San Sebastián de los Reyes, Community of Madrid, Spain",14.0,135 , Entry level , Full-time , Engineering Information Technology , Information Technology and Services Computer Software Telecommunications,python qlik tableau scala spark hive aws java gcp cloud azure b2b b2c scrum keras sklearn,engineering vertientes inclusivos technology regresion matplotlib py js multilabel movistar compliance learning xglb multiclass numpy ideación “ innovation ciberseguridad promovemos clustering mathematics d3 2-3 prototipado fss subproyectos r-project xgboost stem gdpr okrs clasificacion ” librerias involucrándote factibles nldr mllib sparkling analíticos pro-actividad
1812954836,Data Scientist & Analytics Crm,Ogilvy,"San Sebastián de los Reyes, Community of Madrid, Spain",14.0,0, Entry level , Full-time , Engineering Information Technology , Marketing and Advertising Online Media Human Resources,python tableau sql crm mining,learning predictivos gtb automoción segmentación analytics leads accionables realizables customer analysis scientist cuantitativos insights responsibilidades
1789135389,Junior Data Analyst,Fever,"San Sebastián de los Reyes, Community of Madrid, Spain",28.0,82 , Associate , Full-time , Information Technology , Online Media Internet Entertainment,sql,atresmedia 0-2 knowledgeis secreto accel 14w you're nyc untamable team-orientated analytics kpis sharingacross npajvri bar-raisers lab-tech moreand we're successfullyacross
1793573876,Data Scientist - Intelligence Unit -ID: 200002G7,Prosegur,"Madrid, Community of Madrid, Spain",21.0,0, Mid-Senior level , Full-time , Purchasing , Security and Investigations,python r spark sql hadoop aws cloud azure mining,sanitarias entrevistas prosgur dashboarding cutting-edge prioritariamente selección establecidas ’ analytics “ autoridades nuestros candidatos telecomunicaciones rapidez google — plataformas ” prosegur llevarán modeling buscamos cybersecurity garantizar procesos cumplir medidas bias-variance través otras prevención instance-based agilidad
1768492900,Beca como Data Scientist,Aegon Seguros,"Madrid, Community of Madrid, Spain",21.0,160 , Associate , Full-time , Analyst Science , Insurance,python sql,valorará learning predictivos retribuida analytics estructurados r-studio scientist multidisciplinar translator
1799947540,DESARROLLADOR JUNIOR BIG DATA,KEEDIO,"Madrid, Community of Madrid, Spain",Invalid day of week,0, Entry level , Full-time , Information Technology Consulting Strategy/Planning , Information Technology and Services Management Consulting Banking,python sql java cloudera no-sql,valorable scripting distribuciones keedio desarrollarte bbdd bd valoraremos
1822293096,Data Scientist Junior,Open Sistemas,"San Sebastián de los Reyes, Community of Madrid, Spain",0.4166666666666667,0, Entry level , Full-time , Engineering Information Technology , Information Technology and Services Telecommunications Human Resources,python tensorflow keras,retribucin certificacin guardera ubicad formacin mnima libreras salariales scientist mdico
1793296760,Senior Data Scientist (BARCELONA BASED),Montreal Associates,"Madrid, Community of Madrid, Spain",4.0,0, Mid-Senior level , Full-time , Engineering , Broadcast Media,tensorflow keras,recommenders dashboards ltv productionize py sci-kit-learn mxnet
1793291346,Consultor Data Scientist,Bip Spain,"Madrid, Community of Madrid, Spain",4.0,70 , Associate , Full-time , Consulting Information Technology Analyst , Management Consulting,python r spark sql hadoop java mining,javascript knime rpa analytics “ master's goal-based ” technical-aware modeling
1712806429,Digital Data Scientist,JTI (Japan Tobacco International),"Covibar Madrid, Community of Madrid, Spain",21.0,104 , Entry level , Full-time , Engineering Information Technology , Consumer Goods Food & Beverages Tobacco,python r spark sql apis b2b b2c mining,kpis profiscient dmps architecting dataiku ’ energizing analytics plaftorms mevius self-starter e-commerce e-cigarette synthetize www centricity jti master's ploom
